,lat,lon,h_li,x_atc,q_flag
5,35.401802479206765,76.86410446487741,6430.2847,3938334.8111554496,1.0
6,35.40198233674156,76.86408318841882,6418.197,3938354.859319732,1.0
7,35.40216218970483,76.86406185457423,6415.568,3938374.9074838576,1.0
8,35.40234203783328,76.86404045953816,6418.2134,3938394.9556478257,1.0
9,35.40252187464457,76.86401892118738,6432.063,3938415.0038116365,1.0
10,35.40306141749379,76.86395471594722,6414.4517,3938475.148302127,1.0
11,35.4032411257073,76.8639315477576,6675.2065,3938495.19646531,1.0
14,35.403780900860184,76.8638702881833,6343.732,3938555.340953914,1.0
15,35.40432056500388,76.86380762125788,6288.182,3938615.4854411045,1.0
16,35.40450043225748,76.86378646912124,6294.7236,3938635.533603187,1.0
18,35.404860126912126,76.86374365956999,6338.9375,3938675.629926881,1.0
19,35.405039989978896,76.86372245412491,6299.544,3938695.6780884922,1.0
20,35.40521985959834,76.86370133180407,6229.822,3938715.726249946,1.0
21,35.40557950153638,76.86365785512402,6234.5933,3938755.822572382,0.0
22,35.40575931534918,76.86363602563875,6242.125,3938775.8707333645,0.0
23,35.40593913035654,76.8636142117349,6247.743,3938795.91889419,0.0
24,35.40611894828768,76.86359243474465,6252.6514,3938815.967054858,0.0
25,35.406298767132,76.86357066946306,6262.878,3938836.01521537,0.0
26,35.40647859168705,76.86354897619469,6273.695,3938856.063375723,0.0
27,35.40683827037454,76.86350596504207,6285.4014,3938896.1596959596,0.0
28,35.40701812088201,76.86348460100055,6295.348,3938916.207855843,0.0
29,35.40719798040058,76.86346335118276,6305.1074,3938936.256015568,0.0
30,35.40737785173823,76.86344225129898,6307.98,3938956.3041751357,0.0
31,35.40755773647155,76.86342132110383,6306.7476,3938976.352334547,0.0
35,35.40881682014608,76.86327342322534,6422.1963,3939116.689446024,0.0
36,35.40953609847711,76.86318640148329,6439.876,3939196.882077696,0.0
39,35.41007569966404,76.86312294045894,6407.7866,3939257.026549799,0.0
45,35.41259355504977,76.86282320246573,6349.273,3939537.7007342475,0.0
46,35.41277338060155,76.86280152321285,6361.821,3939557.7488891003,0.0
49,35.41385255260279,76.86267422091288,6458.8296,3939678.037814918,1.0
50,35.414032428821066,76.86265318392458,6458.8716,3939698.0859686704,0.0
51,35.414212298371076,76.86263206282376,6463.692,3939718.134122266,0.0
54,35.41511159163788,76.86252576719693,6489.1016,3939818.374887886,1.0
56,35.41547135212571,76.86248379602267,6380.87,3939858.4711930337,1.0
57,35.41565120211876,76.86246242799757,6378.247,3939878.5193453715,1.0
58,35.41583105607632,76.8624411093773,6366.643,3939898.5674975524,1.0
62,35.41655054507453,76.86235676379795,6198.4443,3939978.7601047033,1.0
63,35.416730405361214,76.86233552591915,6182.8057,3939998.8082560985,1.0
64,35.41691025951751,76.86231421010274,6189.094,3940018.8564073355,1.0
65,35.41709015748477,76.86229344978602,6123.7773,3940038.904558416,1.0
66,35.41727003809032,76.86227247121997,6096.5225,3940058.9527093396,1.0
69,35.41780974470356,76.86221035023283,5965.727,3940119.0971611664,1.0
70,35.417989648989234,76.86218967025599,5940.5884,3940139.145311461,1.0
71,35.41816954718405,76.86216891290525,5918.1665,3940159.1934615974,1.0
72,35.41834943037136,76.86214796568629,5904.5225,3940179.2416115776,1.0
76,35.41906886761315,76.86206296643616,5774.199,3940259.434209925,1.0
77,35.419248672142814,76.86204102249434,5753.196,3940279.482359119,1.0
78,35.41942847292249,76.86201903109759,5735.837,3940299.530508156,1.0
79,35.4196082743853,76.86199704834337,5722.5938,3940319.578657036,1.0
82,35.42014774509544,76.86193194024793,5674.815,3940379.7231027302,1.0
83,35.42032762007973,76.86191088950147,5664.7124,3940399.7712509814,1.0
84,35.42050751753369,76.86189012318698,5654.6074,3940419.8193990737,1.0
85,35.42068742591688,76.86186949543861,5643.9,3940439.8675470105,1.0
86,35.42086733932738,76.86184893169599,5632.262,3940459.915694789,0.0
89,35.42140707142343,76.8617871364504,5588.564,3940520.0601371825,0.0
90,35.42158693768856,76.86176597623665,5582.104,3940540.108284333,0.0
91,35.421766787295205,76.86174460384251,5575.996,3940560.1564313252,0.0
92,35.42194662886303,76.86172312978186,5570.6777,3940580.2045781603,0.0
93,35.422126466047644,76.8617016001466,5566.998,3940600.252724838,0.0
94,35.42230630367162,76.8616800762062,5563.5625,3940620.3008713597,0.0
95,35.422486146398136,76.86165861720588,5558.242,3940640.3490177225,0.0
96,35.4226659941438,76.86163722124473,5552.107,3940660.3971639294,0.0
97,35.422845858369506,76.8616160346088,5546.8794,3940680.4453099784,0.0
98,35.42302574144509,76.86159508667947,5542.247,3940700.4934558715,0.0
99,35.42320563131729,76.86157422515032,5538.366,3940720.541601606,0.0
100,35.42338552486995,76.86155341023624,5534.6333,3940740.5897471835,0.0
101,35.423565418969,76.86153260243191,5531.964,3940760.6378926034,0.0
102,35.423745311496276,76.86151177432208,5529.8037,3940780.686037867,0.0
103,35.423925201148904,76.86149090987294,5527.7773,3940800.7341829725,0.0
104,35.42410508028708,76.86146991258983,5526.5425,3940820.782327921,0.0
105,35.424284947715236,76.86144876677076,5525.8965,3940840.830472712,0.0
106,35.42446480874416,76.86142753981744,5525.6167,3940860.8786173463,0.0
107,35.42464466738298,76.86140628238695,5525.5454,3940880.926761823,0.0
108,35.424824525329065,76.86138501631251,5525.6035,3940900.974906143,0.0
109,35.42500438422286,76.86136376245673,5525.519,3940921.0230503054,0.0
110,35.42518424479765,76.86134252989865,5525.449,3940941.0711943097,0.0
111,35.42536411085561,76.86132136719561,5525.3896,3940961.119338158,0.0
112,35.42554398448897,76.86130030001169,5525.3037,3940981.1674818485,0.0
113,35.42572386107831,76.86127927058124,5525.399,3941001.215625382,0.0
114,35.425903737560745,76.86125823971304,5525.656,3941021.2637687586,0.0
115,35.42608361236288,76.86123718764838,5526.0503,3941041.311911977,0.0
116,35.42626348425576,76.8612160986321,5526.401,3941061.360055039,0.0
117,35.42644335181805,76.86119495527811,5526.7,3941081.408197943,0.0
118,35.42662321338533,76.86117373562581,5527.1035,3941101.45634069,0.0
119,35.42680306699703,76.86115241486687,5527.5776,3941121.50448328,0.0
120,35.42698291362145,76.86113100628609,5527.9824,3941141.5526257125,0.0
121,35.42716275482651,76.86110952844973,5528.448,3941161.600767988,0.0
122,35.42734259144144,76.86108799257698,5529.0146,3941181.648910106,0.0
123,35.4275224248007,76.86106641580284,5529.5293,3941201.697052066,0.0
124,35.427702255251866,76.86104480184031,5530.42,3941221.7451938703,0.0
125,35.4278820844201,76.86102317171208,5531.649,3941241.793335516,0.0
126,35.42806191319766,76.86100153681014,5533.447,3941261.841477005,0.0
127,35.4282417435149,76.86097992137388,5535.4834,3941281.8896183367,0.0
128,35.42842157678502,76.86095834364875,5537.1733,3941301.937759511,0.0
129,35.42860141505502,76.86093682911792,5537.985,3941321.9859005283,0.0
130,35.42878125888635,76.86091538510715,5537.806,3941342.0340413884,0.0
131,35.428961109247986,76.86089402400353,5537.1763,3941362.082182091,0.0
132,35.429140965906086,76.86087274262252,5536.275,3941382.1303226366,0.0
133,35.4293208294119,76.86085154797263,5535.0728,3941402.178463024,0.0
134,35.42950069888226,76.86083042924014,5534.244,3941422.2266032547,0.0
135,35.429680573745586,76.86080937859884,5534.322,3941442.2747433283,0.0
136,35.42986045342428,76.86078838920724,5535.2925,3941462.322883244,0.0
137,35.430040337219246,76.86076745196578,5536.652,3941482.3710230035,0.0
138,35.43022022309698,76.86074654131255,5537.958,3941502.419162605,0.0
