,lat,lon,h_li,x_atc,q_flag
0,35.378928371949186,76.90094984870916,5631.3706,3935487.970232558,0.0
1,35.37910816831589,76.90092787241156,5636.306,3935508.018419142,0.0
2,35.37928797533975,76.90090603265173,5641.2573,3935528.0666055693,0.0
3,35.37946779964783,76.90088441286696,5645.975,3935548.114791839,0.0
4,35.38180582643085,76.90060730304697,5761.554,3935808.7411990613,1.0
5,35.382705015823475,76.90050006540258,5782.6885,3935908.9821178503,0.0
6,35.38288494993424,76.90047984874508,5787.848,3935929.0303011374,0.0
7,35.383064905861616,76.900459901727,5793.1445,3935949.0784842684,0.0
8,35.38396463337632,76.90035950160916,5818.047,3936049.3193975626,0.0
9,35.38414448937067,76.90033829407184,5821.86,3936069.367579751,0.0
10,35.38432432945528,76.90031687683268,5823.3677,3936089.415761782,0.0
12,35.38522326723478,76.90020643895156,5840.8516,3936189.6566695813,0.0
13,35.38540306110095,76.90018444224506,5846.2573,3936209.7048506704,0.0
14,35.38558286806952,76.90016260172712,5851.6846,3936229.753031602,0.0
15,35.38648200485963,76.9000546963627,5876.5605,3936329.993933906,0.0
16,35.3866618333367,76.90003313772485,5881.063,3936350.0421138955,0.0
17,35.386841662116325,76.90001157646867,5885.401,3936370.0902937283,0.0
18,35.387021493970046,76.8999900470709,5889.8296,3936390.1384734036,0.0
19,35.38774088039657,76.89990471164526,5907.032,3936470.3311905363,0.0
20,35.387920758075296,76.8998837749997,5910.5625,3936490.3793694275,0.0
21,35.38810064835569,76.89986299747602,5913.271,3936510.427548161,0.0
22,35.38828054706544,76.89984232090967,5915.559,3936530.4757267367,0.0
23,35.38900020121504,76.89976038986725,5916.5464,3936610.6684394726,0.0
24,35.38918011750779,76.89973994522074,5914.4585,3936630.716617264,0.0
25,35.38936003311946,76.89971948996947,5911.6123,3936650.7647948987,0.0
26,35.38953994850408,76.8996990331832,5907.8286,3936670.8129723757,0.0
28,35.39043991950327,76.8996017583554,5813.959,3936771.0538574057,0.0
29,35.39061992201347,76.89958240785211,5791.906,3936791.102033941,0.0
30,35.3907999383777,76.89956323727893,5766.969,3936811.150210319,0.0
31,35.39097994929926,76.8995439939577,5742.8965,3936831.1983865392,0.0
32,35.39169985688406,76.89946529591555,5665.094,3936911.391089854,0.0
33,35.39187980583773,76.89944526279726,5650.4805,3936931.439265289,0.0
34,35.3920597421232,76.89942507065166,5637.9004,3936951.4874405675,0.0
35,35.39223967052448,76.89940477952837,5626.988,3936971.535615689,0.0
36,35.39241959218663,76.89938439865091,5617.5396,3936991.5837906534,0.0
37,35.39259950829161,76.89936395384882,5609.3716,3937011.6319654607,0.0
38,35.39277941987115,76.89934344766777,5602.3433,3937031.680140111,0.0
39,35.39295932609629,76.89932287159138,5596.539,3937051.728314605,0.0
40,35.39313922679567,76.89930222814019,5591.913,3937071.776488941,0.0
41,35.3933191262654,76.89928156771839,5587.902,3937091.824663121,0.0
42,35.39349902752588,76.89926092966448,5583.95,3937111.8728371426,0.0
43,35.39367892928087,76.8992403019189,5580.275,3937131.921011008,0.0
45,35.39421863665513,76.89917842947989,5570.502,3937192.06553166,0.0
46,35.394398532729824,76.89915772796581,5569.0,3937212.1137048965,0.0
47,35.394578424601946,76.89913697133522,5568.024,3937232.1618779763,0.0
48,35.39475831155234,76.89911615252669,5567.25,3937252.2100509,0.0
49,35.394938193653736,76.8990952677961,5566.6914,3937272.2582236645,0.0
50,35.39547779889775,76.8990321011346,5565.967,3937332.4027410196,0.0
51,35.39565764580152,76.89901077640155,5565.7017,3937352.4509131564,0.0
52,35.39583748890597,76.89898940250578,5565.2793,3937372.499085137,0.0
53,35.396017332394564,76.89896802993621,5564.762,3937392.5472569596,0.0
54,35.39619717741379,76.89894667698758,5564.271,3937412.595428626,0.0
55,35.3963770253999,76.89892536110523,5563.8774,3937432.643600135,0.0
56,35.39655687776894,76.89890410220721,5563.425,3937452.691771487,0.0
57,35.39673673696286,76.89888293099284,5562.906,3937472.739942682,0.0
58,35.396916609826754,76.89886193366482,5562.4854,3937492.7881137193,0.0
59,35.397096493489755,76.89884107324741,5561.865,3937512.8362846,0.0
60,35.397276374101416,76.8988201746422,5561.2812,3937532.8844553237,0.0
61,35.397995810050546,76.89873546929766,5559.0234,3937613.0771366474,0.0
62,35.39817561674532,76.8987136364143,5558.415,3937633.125306586,0.0
63,35.39835541260286,76.8986916588841,5557.73,3937653.1734763663,0.0
64,35.39853520625192,76.89866965557559,5557.0195,3937673.221645991,0.0
