,lat,lon,h_li,x_atc,q_flag
1,34.03054440571781,75.01233244064093,1677.4565,3784938.0483045164,1.0
2,34.03863010543522,75.01126979365372,1881.0778,3785840.2709997213,1.0
5,34.05769196323355,75.00896162439426,2017.4436,3787965.505485773,1.0
6,34.07874872682193,75.00662448754997,2194.2703,3790311.2812224147,1.0
7,34.079108529231256,75.00658275311119,2200.871,3790351.3799351505,1.0
8,34.07928835775214,75.00656097812788,2210.2522,3790371.429291295,1.0
12,34.08649253199916,75.00582827576864,2002.2961,3791173.4034143076,1.0
13,34.08878262653114,75.00545665757005,2484.627,3791434.044952716,1.0
14,34.08900264255246,75.0054296817977,2492.801,3791454.094300776,1.0
15,34.089182514955965,75.00540845632332,2495.232,3791474.1436486864,1.0
16,34.08936244736725,75.00538802135719,2496.6475,3791494.192996448,1.0
17,34.089542336231645,75.00536700371498,2499.855,3791514.2423440595,1.0
18,34.08972225617308,75.0053463710297,2502.7744,3791534.291691521,1.0
19,34.09385623368628,75.00481996609426,2775.0554,3791995.4266418093,1.0
20,34.094036260124014,75.00480067814811,2773.718,3792015.4759856765,1.0
21,34.094216465637366,75.0047836676861,2762.555,3792035.5253293947,1.0
22,34.09475630770214,75.00472279538405,2764.4004,3792095.6733596507,1.0
23,34.09493624045646,75.00470229593591,2763.8665,3792115.7227027686,1.0
25,34.1373701679823,74.99997139351859,2339.6736,3796847.3634884884,1.0
26,34.14889208014346,74.99826375488772,3566.1902,3798130.5188722624,1.0
27,34.14907186213634,74.99824140105522,3565.5037,3798150.5681702574,0.0
28,34.14925160863448,74.99821859385133,3565.9119,3798170.617468102,0.0
29,34.149431344266375,74.99819567536008,3565.969,3798190.666765797,0.0
30,34.14961106497357,74.99817256013478,3566.2732,3798210.7160633407,0.0
31,34.14979077592902,74.99814932504523,3566.4827,3798230.765360736,0.0
32,34.14997047886971,74.99812600778665,3566.7078,3798250.8146579796,0.0
33,34.150150159807765,74.99810240137583,3567.49,3798270.863955074,0.0
34,34.150329840267595,74.99807877276993,3568.3364,3798290.913252018,0.0
35,34.15050951796768,74.99805511875331,3569.2068,3798310.9625488124,0.0
37,34.150868876236714,74.9980078756002,3570.633,3798351.0611419505,1.0
41,34.151587642771624,74.99791395476774,3575.352,3798431.2583264248,0.0
42,34.15176734670987,74.99789062565117,3577.2043,3798451.3076221677,0.0
43,34.15194705490295,74.99786734953727,3579.4778,3798471.3569177617,0.0
44,34.152126769320134,74.99784417238766,3582.0732,3798491.406213204,0.0
45,34.152306492848474,74.99782111932575,3584.5315,3798511.4555084975,0.0
47,34.15353223984263,74.99725457861533,5333.3867,3798651.800571348,1.0
48,34.15371207014396,74.99723284108893,5330.0513,3798671.8498654403,1.0
49,34.154249903153385,74.99714682042548,5404.854,3798731.997746817,1.0
50,34.154429727178254,74.99712499862812,5400.316,3798752.0470403093,1.0
51,34.154609464008956,74.9971020957264,5398.1147,3798772.0963336504,1.0
52,34.15532870946492,74.99701421409301,5360.159,3798852.293505518,1.0
53,34.15550925706194,74.99700145804223,5310.9854,3798872.3427981087,1.0
54,34.15568886136726,74.99697687914863,5310.369,3798892.39209055,1.0
55,34.1558683382412,74.996950732089,5317.395,3798912.4413828407,1.0
56,34.156227902007636,74.99690603836228,5301.2695,3798952.539966973,1.0
57,34.15658867601047,74.99687653753833,5223.4805,3798992.6385505046,1.0
58,34.15676836904868,74.99685306680306,5225.6685,3799012.6878420445,1.0
59,34.15694832382761,74.9968328947852,5212.898,3799032.7371334354,1.0
60,34.15712808349449,74.99681027764609,5212.7275,3799052.786424676,1.0
61,34.157848799072184,74.99674081193598,5128.2705,3799132.9835881363,1.0
62,34.1580285751756,74.99671838667189,5130.7383,3799153.032878625,1.0
63,34.158208384725974,74.99669636573293,5131.924,3799173.0821689656,1.0
64,34.15838801558436,74.99667212406831,5139.253,3799193.131459155,1.0
67,34.1589530484444,74.99692702982657,3761.1704,3799253.2793288217,0.0
68,34.15913263822695,74.99690227675063,3765.9807,3799273.3286184114,0.0
69,34.15931220535947,74.99687724832091,3770.8096,3799293.3779078494,0.0
70,34.1594917705475,74.99685218688774,3775.3635,3799313.427197139,0.0
71,34.15967134296839,74.99682721874194,3779.4082,3799333.4764862773,0.0
72,34.15985092589484,74.99680238396456,3783.1355,3799353.5257752645,0.0
73,34.160030526004675,74.99677776297548,3786.47,3799373.575064104,0.0
74,34.16021014134778,74.9967533337113,3789.7976,3799393.6243527913,0.0
75,34.160389798400416,74.9967294246926,3792.7349,3799413.673641329,0.0
76,34.16056948478335,74.99670588267873,3795.472,3799433.722929717,0.0
77,34.160749184742336,74.99668251393399,3797.9536,3799453.7722179545,0.0
78,34.160928893242364,74.99665925324939,3800.2532,3799473.821506042,0.0
79,34.161108610111455,74.99663609506075,3802.1216,3799493.8707939796,0.0
80,34.16128832734723,74.99661293796794,3803.8257,3799513.9200817673,0.0
81,34.16146807046587,74.99659011577609,3803.8533,3799533.9693694036,1.0
82,34.161647784840184,74.99656692263073,3804.1172,3799554.0186568904,1.0
83,34.161827459725124,74.99654323467081,3805.5369,3799574.0679442277,1.0
84,34.16200714788933,74.99651972008223,3805.9133,3799594.117231414,1.0
85,34.162186861090355,74.99649651964504,3804.7427,3799614.166518451,1.0
86,34.16236655847187,74.99647311872735,3804.2756,3799634.215805337,0.0
87,34.162546255160834,74.99644970331676,3804.1406,3799654.265092073,0.0
88,34.16272599572803,74.99642684286167,3801.7686,3799674.314378659,1.0
89,34.162905781437374,74.99640454680821,3797.561,3799694.3636650955,1.0
90,34.16308558484693,74.99638247710357,3793.052,3799714.4129513814,1.0
91,34.163265369591635,74.99636016769472,3790.09,3799734.462237517,1.0
92,34.163445101737324,74.99633720283919,3790.4219,3799754.511523502,0.0
93,34.16362482082687,74.99631407007524,3791.8215,3799774.5608093375,0.0
94,34.16380456628727,74.99629127290956,3792.226,3799794.6100950227,0.0
95,34.16398433544433,74.99626877099854,3791.6418,3799814.659380557,0.0
96,34.164164102704945,74.99624624711942,3791.4844,3799834.708665942,1.0
97,34.16434384050365,74.99622335050552,3793.042,3799854.757951177,0.0
98,34.16452360321351,74.99620077308191,3793.3088,3799874.8072362607,0.0
99,34.16470343833848,74.99617909597202,3789.6235,3799894.8565211953,1.0
100,34.16488333572665,74.9961582041204,3782.3513,3799914.905805979,1.0
101,34.16506323746344,74.9961373597838,3774.7634,3799934.955090613,1.0
102,34.165243114992364,74.99611621515768,3768.2468,3799955.0043750973,1.0
103,34.16542299115733,74.99609505094753,3761.2024,3799975.05365943,1.0
104,34.16560285100643,74.99607368931689,3754.6445,3799995.102943614,1.0
105,34.16578272948557,74.99605255683537,3746.7861,3800015.152227647,1.0
106,34.1659625934869,74.99603124146046,3739.5574,3800035.20151153,1.0
107,34.16614245455389,74.99600989805543,3732.2754,3800055.250795263,1.0
108,34.16632230124832,74.99598836556163,3725.728,3800075.300078846,1.0
109,34.16650209116445,74.99596611929763,3722.4824,3800095.3493622784,0.0
110,34.166681955323874,74.99594480988122,3714.9065,3800115.3986455607,1.0
111,34.1668618323896,74.9959236622922,3707.343,3800135.447928692,1.0
112,34.16704085801087,74.99590266487769,3699.3503,3800155.4972116747,1.0
113,34.16722110513027,74.99588110344948,3693.572,3800175.5464945068,1.0
114,34.16740137217077,74.99585907026906,3690.231,3800195.5957771875,1.0
115,34.16758121458032,74.99583748929507,3685.5273,3800215.6450597197,1.0
116,34.167761189564445,74.99581756782004,3673.6863,3800235.6943421005,1.0
117,34.167941818081054,74.99580582686224,3628.6272,3800255.743624332,1.0
118,34.16812221260988,74.99579116789323,3595.4443,3800275.7929064124,1.0
119,34.168302206824734,74.9957714851194,3584.4338,3800295.8421883425,1.0
120,34.16848218675137,74.99575162447275,3573.778,3800315.891470124,1.0
121,34.168662112124885,74.99573108242743,3565.5876,3800335.9407517537,1.0
122,34.168841976174356,74.99570977455426,3560.0693,3800355.9900332345,1.0
123,34.16902183161361,74.9956883520278,3554.6248,3800376.039314564,1.0
124,34.169201660648945,74.99566659654624,3549.434,3800396.0885957438,0.0
125,34.16938146027181,74.9956444821855,3544.3328,3800416.1378767737,0.0
126,34.16956124800441,74.99562221535439,3539.547,3800436.1871576533,0.0
127,34.16974102546661,74.99559981612364,3535.6877,3800456.236438382,0.0
128,34.16992079722345,74.99557734725175,3532.8984,3800476.285718961,0.0
129,34.17010059338132,74.9955551888358,3529.8367,3800496.334999389,0.0
130,34.170280394280475,74.99553308147273,3527.6802,3800516.384279668,0.0
131,34.170460212426654,74.99551119301344,3526.4084,3800536.433559797,0.0
132,34.170640074232914,74.99548985806723,3525.1724,3800556.482839774,0.0
133,34.17081993374025,74.9954684931418,3525.6467,3800576.532119603,0.0
134,34.17099976863398,74.99544681123609,3527.8853,3800596.58139928,0.0
135,34.17117960007269,74.99542509354376,3530.2544,3800616.6306788083,1.0
136,34.171359398887105,74.99540297152186,3534.2366,3800636.6799581856,1.0
137,34.17153915483412,74.99538030668947,3539.7612,3800656.7292374126,1.0
138,34.17171891990305,74.99535775740748,3543.6133,3800676.7785164895,1.0
139,34.17189865153578,74.99533478247093,3547.0781,3800696.827795416,1.0
140,34.17207834746187,74.99531136759143,3551.1772,3800716.8770741927,1.0
141,34.17225795995904,74.99528690274178,3559.0784,3800736.92635282,1.0
142,34.17243752952441,74.99526189568655,3569.0264,3800756.9756312952,1.0
143,34.17261710421426,74.99523696018997,3578.6477,3800777.024909621,1.0
144,34.172796679240115,74.9952120246308,3588.805,3800797.074187797,1.0
145,34.172976284162296,74.99518746869319,3597.481,3800817.123465822,1.0
146,34.17315591568601,74.99516324216847,3606.2754,3800837.1727436977,1.0
147,34.17333556342785,74.99513921992377,3615.095,3800857.222021423,1.0
148,34.17351525905892,74.99511580428376,3621.9175,3800877.271298997,1.0
149,34.17369496920803,74.99509255895941,3628.2393,3800897.320576422,1.0
150,34.17387462606847,74.99506865682775,3637.3926,3800917.3698536963,1.0
151,34.17405424564491,74.99504428343602,3648.938,3800937.4191308203,1.0
152,34.17423386489267,74.99501990665522,3660.448,3800957.4684077944,1.0
153,34.17441346839603,74.99499532924682,3672.3584,3800977.517684618,1.0
154,34.17459304995187,74.99497047508711,3685.3403,3800997.5669612917,1.0
155,34.17477257083383,74.99494487029938,3700.9504,3801017.616237815,1.0
156,34.17495198219752,74.99491788698,3721.9785,3801037.665514188,1.0
157,34.175131336807965,74.99489017989652,3746.905,3801057.7147904104,1.0
158,34.17531088925124,74.99486496360913,3760.6228,3801077.7640664824,1.0
159,34.175490555202565,74.99484117329678,3768.454,3801097.8133424055,1.0
160,34.175670082225906,74.9948156445397,3783.3652,3801117.862618178,1.0
161,34.175849827262255,74.99479283792567,3786.496,3801137.9118937994,1.0
162,34.176029686142286,74.99477147394944,3783.906,3801157.9611692713,1.0
163,34.17620937902714,74.99474801721774,3791.8982,3801178.0104445918,1.0
164,34.17638902059712,74.99472391790644,3803.0244,3801198.0597197637,1.0
165,34.17656867714503,74.99470000988899,3814.6396,3801218.1089947843,1.0
166,34.17674836369027,74.99467647125277,3825.4873,3801238.1582696554,1.0
167,34.17692807813512,74.994653285764,3836.7903,3801258.2075443757,1.0
168,34.177107837391944,74.99463066560017,3847.4907,3801278.2568189465,1.0
169,34.17728760418678,74.99460813618845,3857.954,3801298.306093366,1.0
170,34.177467410568426,74.99458610832153,3865.8843,3801318.3553676363,1.0
171,34.177647377377845,74.99456609430635,3864.4927,3801338.404641755,1.0
172,34.17782719911336,74.9945442541179,3869.4534,3801358.4539157245,1.0
173,34.178006808322735,74.99451974411343,3884.3372,3801378.5031895433,1.0
174,34.17818645858513,74.99449575732899,3894.8333,3801398.552463212,1.0
175,34.17836624638536,74.99447348509312,3895.6907,3801418.60173673,0.0
176,34.178546335964356,74.99445500544653,3878.958,3801438.6510100984,1.0
177,34.178726434327984,74.99443663229417,3861.5232,3801458.7002833164,1.0
178,34.17890639030423,74.99441647736668,3852.831,3801478.7495563845,1.0
179,34.17908629707353,74.9943957005899,3848.0369,3801498.7988293013,1.0
180,34.179266328078434,74.99437648121847,3837.5247,3801518.8481020685,1.0
181,34.179446498445465,74.99435901584982,3822.086,3801538.897374686,1.0
182,34.17962667896545,74.99434167173675,3809.0884,3801558.946647153,1.0
183,34.17980676277017,74.99432311633251,3802.9993,3801578.9959194693,1.0
184,34.179986787265406,74.99430382748656,3801.9966,3801599.045191635,1.0
185,34.180167177185915,74.99428910959026,3780.8704,3801619.0944636506,1.0
186,34.18034750399153,74.99427359442376,3764.0903,3801639.1437355164,1.0
187,34.18052768014035,74.99425620138317,3755.0837,3801659.1930072317,1.0
188,34.18070786843399,74.99423895657708,3744.8042,3801679.242278797,1.0
